id,plef_pti,proxy_dominance,human_dominance_1to7,annotator_name,confidence_1to5
pti_000,0.0,0.0,,,
pti_001,0.25,0.3333,,,
pti_002,0.5,1.0,,,
pti_003,-0.5,-1.0,,,
pti_004,0.0,0.0,,,
pti_005,0.6667,1.0,,,
pti_006,0.5,1.0,,,
pti_007,-0.2,-1.0,,,
pti_008,0.6667,1.0,,,
pti_009,0.5,1.0,,,
pti_010,0.0,0.0,,,
pti_011,-0.4,-0.5,,,
pti_012,0.5,1.0,,,
pti_013,0.6667,1.0,,,
pti_014,-0.5,-1.0,,,
pti_015,0.6667,1.0,,,
pti_016,0.0,0.0,,,
pti_017,0.0,0.0,,,
pti_018,0.0,0.0,,,
pti_019,0.0,0.0,,,
pti_020,0.8,1.0,,,
pti_021,0.0,0.0,,,
pti_022,0.5,1.0,,,
pti_023,0.75,1.0,,,
pti_024,-0.75,-1.0,,,
pti_025,0.5,1.0,,,
pti_026,0.5,1.0,,,
pti_027,-0.5,-1.0,,,
pti_028,0.6667,1.0,,,
pti_029,-0.5,-1.0,,,
