metric,mean,sd,median,min,max,n
sentiment,-0.0187,0.1011,-0.0109,-0.875,0.765,1317
gase,0.4604,0.0759,0.4518,0.1324,0.7523,1317
pti,0.5963,0.4552,0.7647,-0.98,0.9902,1317
teg,0.2195,0.1261,0.2041,0.0,1.2977,1317
rci,0.0356,0.0371,0.0295,0.0,1.0,1317
pai,0.3579,0.134,0.3333,0.0,0.6898,1317
nava,-0.0361,0.1805,-0.0165,-0.9638,1.0097,1289
lewi_drop,-0.0301,0.1544,-0.0118,-0.8316,0.8384,1289
cd_index,0.1642,0.0872,0.1667,0.0,0.4601,1317
vads,0.0878,0.057,0.0809,0.0,0.4247,1317
ties,0.0426,0.1548,0.0,0.0,2.5909,1317
vader_score,0.3295,0.6807,0.6433,-0.9963,0.9993,1317
nrc_score,0.0019,0.0088,0.0009,-0.0462,0.0793,1317
liwc_score,0.247,0.4629,0.21,-0.9998,0.9999,1317
n_words,510.609,494.9706,374,48,6586,1317
